file,t_score,r_score,group,subject
S001R01.edf,0.19375,1.1643500786078342,Resting State,Subject_1
S002R01.edf,0.15625,0.9557861847544002,Resting State,Subject_2
S003R01.edf,0.1625,0.8199191786344897,Resting State,Subject_3
S004R01.edf,0.16875,0.5626311377757254,Resting State,Subject_4
S005R01.edf,0.1625,0.1111507531843557,Resting State,Subject_5
S001R03.edf,0.24375,1.1571044240529615,Active Task,
S001R07.edf,0.21875,1.1685853426204638,Active Task,
S001R11.edf,0.2375,1.0595708900628147,Active Task,
S002R03.edf,0.1625,0.6621487572312624,Active Task,
S002R07.edf,0.16875,0.83432983685952,Active Task,
S002R11.edf,0.1375,0.7121276132710482,Active Task,
S003R03.edf,0.1875,0.5103146416580456,Active Task,
S003R07.edf,0.14375,0.880659364006321,Active Task,
S003R11.edf,0.1625,0.9911013353763797,Active Task,
S004R03.edf,0.1625,0.6472505077517711,Active Task,
S004R07.edf,0.1625,0.7509312978756995,Active Task,
S004R11.edf,0.15625,0.635603536577757,Active Task,
S005R03.edf,0.175,0.1181744195469368,Active Task,
S005R07.edf,0.175,0.12807119246839946,Active Task,
S005R11.edf,0.18125,0.14925015045460022,Active Task,
